bairro,racial,renda,valor
Altiplano Cabo Branco,Branca,Mais de 5 a 10 SM,284
Altiplano Cabo Branco,Branca,Mais de 10 SM,225
Altiplano Cabo Branco,Branca,Sem rendimento,765
Altiplano Cabo Branco,Branca,Total,2366
Altiplano Cabo Branco,Parda,Até 1/2 SM,110
Altiplano Cabo Branco,Parda,Mais de 1/2 a 1 SM,425
Altiplano Cabo Branco,Parda,Mais de 1 a 2 SM,233
Altiplano Cabo Branco,Parda,Mais de 2 a 3 SM,93
Altiplano Cabo Branco,Parda,Mais de 3 a 5 SM,118
Altiplano Cabo Branco,Parda,Mais de 5 a 10 SM,137
Altiplano Cabo Branco,Parda,Mais de 10 SM,93
Altiplano Cabo Branco,Parda,Sem rendimento,620
Altiplano Cabo Branco,Parda,Total,1829
Altiplano Cabo Branco,Preta,Até 1/2 SM,20
Altiplano Cabo Branco,Preta,Mais de 1/2 a 1 SM,63
Altiplano Cabo Branco,Preta,Mais de 1 a 2 SM,35
Altiplano Cabo Branco,Preta,Mais de 2 a 3 SM,8
Altiplano Cabo Branco,Preta,Mais de 3 a 5 SM,8
Altiplano Cabo Branco,Preta,Mais de 5 a 10 SM,5
Altiplano Cabo Branco,Preta,Mais de 10 SM,4
Altiplano Cabo Branco,Preta,Sem rendimento,77
Altiplano Cabo Branco,Preta,Total,220
Altiplano Cabo Branco,Indígena,Até 1/2 SM,0
Altiplano Cabo Branco,Indígena,Mais de 1/2 a 1 SM,3
Altiplano Cabo Branco,Indígena,Mais de 1 a 2 SM,2
Altiplano Cabo Branco,Indígena,Mais de 2 a 3 SM,1
Altiplano Cabo Branco,Indígena,Mais de 3 a 5 SM,0
Altiplano Cabo Branco,Indígena,Mais de 5 a 10 SM,2
Altiplano Cabo Branco,Indígena,Mais de 10 SM,1
Altiplano Cabo Branco,Indígena,Sem rendimento,6
Altiplano Cabo Branco,Indígena,Total,15
Altiplano Cabo Branco,Amarela,Até 1/2 SM,2
Altiplano Cabo Branco,Amarela,Mais de 1/2 a 1 SM,9
Altiplano Cabo Branco,Amarela,Mais de 1 a 2 SM,10
Altiplano Cabo Branco,Amarela,Mais de 2 a 3 SM,3
Altiplano Cabo Branco,Amarela,Mais de 3 a 5 SM,4
Altiplano Cabo Branco,Amarela,Mais de 5 a 10 SM,3
Altiplano Cabo Branco,Amarela,Mais de 10 SM,3
Altiplano Cabo Branco,Amarela,Sem rendimento,16
Altiplano Cabo Branco,Amarela,Total,50
Altiplano Cabo Branco,Total,Até 1/2 SM,202
Altiplano Cabo Branco,Total,Mais de 1/2 a 1 SM,848
Altiplano Cabo Branco,Total,Mais de 1 a 2 SM,589
Altiplano Cabo Branco,Total,Mais de 2 a 3 SM,270
Altiplano Cabo Branco,Total,Mais de 3 a 5 SM,330
Altiplano Cabo Branco,Total,Mais de 5 a 10 SM,431
Altiplano Cabo Branco,Total,Mais de 10 SM,326
Altiplano Cabo Branco,Total,Sem rendimento,1484
Altiplano Cabo Branco,Total,Total,4480
Alto do Céu,Branca,Até 1/2 SM,245
Alto do Céu,Branca,Mais de 1/2 a 1 SM,1186
Alto do Céu,Branca,Mais de 1 a 2 SM,479
Alto do Céu,Branca,Mais de 2 a 3 SM,74
Alto do Céu,Branca,Mais de 3 a 5 SM,57
Alto do Céu,Branca,Mais de 5 a 10 SM,22
Alto do Céu,Branca,Mais de 10 SM,5
Alto do Céu,Branca,Sem rendimento,1805
Alto do Céu,Branca,Total,3873
Alto do Céu,Parda,Até 1/2 SM,667
Alto do Céu,Parda,Mais de 1/2 a 1 SM,2539
Alto do Céu,Parda,Mais de 1 a 2 SM,768
Alto do Céu,Parda,Mais de 2 a 3 SM,117
Alto do Céu,Parda,Mais de 3 a 5 SM,58
Alto do Céu,Parda,Mais de 5 a 10 SM,18
Alto do Céu,Parda,Mais de 10 SM,4
Alto do Céu,Parda,Sem rendimento,3816
Alto do Céu,Parda,Total,7987
Alto do Céu,Preta,Até 1/2 SM,80
Alto do Céu,Preta,Mais de 1/2 a 1 SM,441
Alto do Céu,Preta,Mais de 1 a 2 SM,149
